topic_id,certification,exam,section,objective,topic,duration,question_targets
SY0-701-001,CompTIA Security+,SY0-701,,0.1 – Introduction,How to Pass Your SY0-701 Security+ Exam,10:06,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-002,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.1 – Security Controls,Security Controls,11:48,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-003,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.2 – Security Concepts,The CIA Triad,5:17,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-004,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.2 – Security Concepts,Non-repudiation,7:57,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-005,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.2 – Security Concepts,"Authentication, Authorization, and Accounting",9:03,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-006,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.2 – Security Concepts,Gap Analysis,6:44,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-007,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.2 – Security Concepts,Zero Trust,10:04,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-008,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.2 – Security Concepts,Physical Security,8:17,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-009,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.2 – Security Concepts,Deception and Disruption,4:30,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-010,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.3 – Change Management,Change Management,11:22,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-011,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.3 – Change Management,Technical Change Management,10:54,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-012,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.4 – Cryptographic Solutions,Public Key Infrastructure,9:08,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-013,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.4 – Cryptographic Solutions,Encrypting Data,9:48,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-014,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.4 – Cryptographic Solutions,Key Exchange,3:39,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-015,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.4 – Cryptographic Solutions,Encryption Technologies,6:53,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-016,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.4 – Cryptographic Solutions,Obfuscation,8:00,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
SY0-701-017,CompTIA Security+,SY0-701,Section 1: General Security Concepts,1.4 – Cryptographic Solutions,Hashing and Digital Signatures,10:24,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
