topic_id,certification,exam,section,objective,topic,duration,question_targets
N10-009-001,CompTIA Network+,N10-009,,0.1 – Introduction,How to Pass Your N10-009 Network+ Exam,7:30,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-002,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.1 – The OSI Model,Understanding the OSI Model,13:51,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-003,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.2 – Network Appliances and Applications,Networking Devices,14:31,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-004,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.2 – Network Appliances and Applications,Networking Functions,13:25,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-005,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.3 – The Cloud,Designing the Cloud,9:49,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-006,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.3 – The Cloud,Cloud Models,5:23,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-007,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.4 – Ports and Protocols,Introduction to IP,14:10,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-008,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.4 – Ports and Protocols,Common Ports,20:22,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-009,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.4 – Ports and Protocols,Other Useful Protocols,8:26,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-010,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.4 – Ports and Protocols,Network Communication,3:55,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-011,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.5 – Transmission Media,Wireless Networking,6:36,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-012,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.5 – Transmission Media,Ethernet Standards,4:04,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-013,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.5 – Transmission Media,Optical Fiber,3:55,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-014,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.5 – Transmission Media,Copper Cabling,7:21,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-015,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.5 – Transmission Media,Network Transceivers,4:51,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-016,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.5 – Transmission Media,Fiber Connectors,3:56,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-017,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.5 – Transmission Media,Copper Connectors,3:31,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-018,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.6 – Network Topologies,Network Topologies,4:42,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-019,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.6 – Network Topologies,Network Architectures,4:53,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-020,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.7 – IPv4 Addressing,Binary Math,9:15,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-021,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.7 – IPv4 Addressing,IPv4 Addressing,11:06,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-022,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.7 – IPv4 Addressing,Classful Subnetting,10:58,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-023,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.7 – IPv4 Addressing,IPv4 Subnet Masks,9:00,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-024,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.7 – IPv4 Addressing,Calculating IPv4 Subnets and Hosts,9:46,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-025,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.7 – IPv4 Addressing,Magic Number Subnetting,21:09,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-026,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.7 – IPv4 Addressing,Seven Second Subnetting,17:03,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-027,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.8 – Network Environments,Software Defined Networking,6:56,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-028,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.8 – Network Environments,Virtual Extensible LAN,5:17,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-029,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.8 – Network Environments,Zero Trust,6:41,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-030,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.8 – Network Environments,Infrastructure as Code,8:20,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-031,CompTIA Network+,N10-009,Section 1: Networking Concepts,1.8 – Network Environments,IPv6 Addressing,13:50,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-032,CompTIA Network+,N10-009,Section 2: Network Implementation,2.1 – Routing Technologies,Static Routing,7:21,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-033,CompTIA Network+,N10-009,Section 2: Network Implementation,2.1 – Routing Technologies,Dynamic Routing,9:12,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-034,CompTIA Network+,N10-009,Section 2: Network Implementation,2.1 – Routing Technologies,Routing Technologies,16:10,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-035,CompTIA Network+,N10-009,Section 2: Network Implementation,2.1 – Routing Technologies,Network Address Translation,7:02,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-036,CompTIA Network+,N10-009,Section 2: Network Implementation,2.2 – Switching Technologies,VLANs and Trunking,12:29,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-037,CompTIA Network+,N10-009,Section 2: Network Implementation,2.2 – Switching Technologies,Interface Configurations,6:40,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-038,CompTIA Network+,N10-009,Section 2: Network Implementation,2.2 – Switching Technologies,Spanning Tree Protocol,6:06,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-039,CompTIA Network+,N10-009,Section 2: Network Implementation,2.3 – Wireless Devices,Wireless Technologies,8:34,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-040,CompTIA Network+,N10-009,Section 2: Network Implementation,2.3 – Wireless Devices,Wireless Networking,11:54,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-041,CompTIA Network+,N10-009,Section 2: Network Implementation,2.3 – Wireless Devices,Network Types,4:41,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-042,CompTIA Network+,N10-009,Section 2: Network Implementation,2.3 – Wireless Devices,Wireless Encryption,3:23,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-043,CompTIA Network+,N10-009,Section 2: Network Implementation,2.4 – Physical Installations,Installing Networks,11:40,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-044,CompTIA Network+,N10-009,Section 2: Network Implementation,2.4 – Physical Installations,Power,7:19,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-045,CompTIA Network+,N10-009,Section 2: Network Implementation,2.4 – Physical Installations,Environmental Factors,3:29,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-046,CompTIA Network+,N10-009,Section 3: Network Operations,3.1 – Processes and Procedures,Network Documentation,10:42,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-047,CompTIA Network+,N10-009,Section 3: Network Operations,3.1 – Processes and Procedures,Life Cycle Management,8:17,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-048,CompTIA Network+,N10-009,Section 3: Network Operations,3.1 – Processes and Procedures,Configuration Management,5:19,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
N10-009-049,CompTIA Network+,N10-009,Section 3: Network Operations,3.2 – Network Monitoring,SNMP,8:58,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
