topic_id,certification,exam,section,objective,topic,duration,question_targets
220-1201-001,CompTIA A+ Core 1,220-1201,,0.1 – Introduction,How to Pass Your A+ 220-1201 and 220-1202 Exams,15:22,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-002,CompTIA A+ Core 1,220-1201,Section 1: Mobile Devices,1.1 – Laptop Hardware,Laptop Hardware,16:42,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-003,CompTIA A+ Core 1,220-1201,Section 1: Mobile Devices,1.2 – Mobile Device Configuration,Connecting Mobile Devices,6:08,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-004,CompTIA A+ Core 1,220-1201,Section 1: Mobile Devices,1.2 – Mobile Device Configuration,Mobile Device Accessories,7:18,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-005,CompTIA A+ Core 1,220-1201,Section 1: Mobile Devices,1.3 – Mobile Connectivity,Mobile Device Networks,10:14,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-006,CompTIA A+ Core 1,220-1201,Section 1: Mobile Devices,1.3 – Mobile Connectivity,Mobile Device Management,8:31,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-007,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.1 – Ports and Protocols,Introduction to IP,19:04,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-008,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.1 – Ports and Protocols,Common Ports,12:52,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-009,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.2 – Wireless Networks,Wireless Network Technologies,7:16,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-010,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.3 – Network Services,Network Services,17:03,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-011,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.4 – Network Configurations,DNS Configuration,18:18,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-012,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.4 – Network Configurations,DHCP,10:46,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-013,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.4 – Network Configurations,VLANs and VPNs,7:32,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-014,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.5 – Network Devices,Network Devices,18:01,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-015,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.6 – Network Configurations,IPv4 and IPv6,8:45,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-016,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.6 – Network Configurations,Assigning IP Addresses,8:26,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-017,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.7 – Network Connections,Internet Connection Types,7:33,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-018,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.7 – Network Connections,Network Types,4:46,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1201-019,CompTIA A+ Core 1,220-1201,Section 2: Networking,2.8 – Network Tools,Network Tools,11:48,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
