id,certification,exam,domain,topic,difficulty,question_type,question,correct_keys,explanation,tags,privacy_note,A,B,C,D
MCQ-2201201-0001,CompTIA A+ Core 1,220-1201,Mobile Devices,Laptop Hardware,hard,single_best_answer,"A teacher’s laptop only works when plugged in. Battery health reports normal capacity, but the laptop shuts off instantly when the AC adapter is removed. Which next check best separates a battery fault from a power-delivery or board-level fault?",B,"A known-good adapter and charging-path check helps isolate whether the issue is battery, charger, port, or board-level power delivery before parts are replaced.","hardware,battery,triage","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Replace the laptop battery immediately because capacity is the only battery-health indicator that matters.,Test with a known-good compatible AC adapter and inspect the DC-in/USB-C charging path before replacing parts.,Reinstall Windows because sudden shutdowns are normally caused by corrupt power plans.,Disable sleep and hibernation so the laptop cannot power off unexpectedly.
MCQ-2201201-0002,CompTIA A+ Core 1,220-1201,Mobile Devices,Mobile Device Management,hard,single_best_answer,A BYOD tablet can access email but cannot receive required Wi-Fi profiles or app restrictions. The user insists they signed in correctly. Which finding most strongly points to the actual issue?,A,MDM targeting/scope and ownership type commonly determine whether configuration profiles apply. Email access alone does not prove the device is correctly enrolled for policy.,"MDM,BYOD,policy","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",The device is enrolled as personal/BYOD but the policy is scoped only to corporate-owned devices.,"The device battery is below 50%, so MDM profiles cannot apply.",The user is connected to 5 GHz Wi-Fi rather than 2.4 GHz Wi-Fi.,The user’s email mailbox is full.
MCQ-2201201-0003,CompTIA A+ Core 1,220-1201,Mobile Devices,Mobile Connectivity,hard,single_best_answer,A staff phone connects to Bluetooth headphones but cannot use a wireless hotspot from a laptop beside it. Other phones can use the hotspot. What is the best first support explanation?,B,Bluetooth working does not validate Wi-Fi or hotspot capability. Treat each wireless function as a separate symptom path.,"wireless,Bluetooth,hotspot","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Bluetooth success proves all wireless radios are healthy.,"Bluetooth and Wi-Fi/hotspot use different radios/protocols, so each must be tested separately.",The laptop hotspot must be using cellular 5G rather than Wi-Fi.,The phone cannot support both Bluetooth and Wi-Fi at the same time.
MCQ-2201201-0004,CompTIA A+ Core 1,220-1201,Networking,Ports and Protocols,hard,single_best_answer,A user can browse websites but cannot map a file share by name or IP. Which port/protocol area should you suspect first for Windows file sharing?,C,Windows file sharing commonly uses SMB over TCP 445. Web browsing working on HTTPS does not prove SMB traffic is allowed.,"ports,SMB","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",TCP 443 / HTTPS,UDP 53 / DNS only,TCP 445 / SMB,UDP 123 / NTP
MCQ-2201201-0005,CompTIA A+ Core 1,220-1201,Networking,DNS Configuration,hard,single_best_answer,A laptop can access an internal web app by IP address but not by its hostname. Other devices on the same network resolve the hostname correctly. What is the best next check?,B,IP access but hostname failure points strongly toward DNS configuration or cache on the client.,"DNS,troubleshooting","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Replace the network cable because hostname failures always mean physical failure.,Check the laptop’s DNS server assignment and DNS cache before changing the app server.,Reboot the app server because IP access proves the client is fine.,"Disable the firewall because firewalls only block names, not IP addresses."
MCQ-2201201-0006,CompTIA A+ Core 1,220-1201,Networking,DHCP,hard,single_best_answer,A workstation shows 169.254.18.22 and cannot access the network. What does this most likely indicate?,B,"169.254.x.x is APIPA, usually indicating the client did not receive a DHCP lease.","DHCP,APIPA","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",The device has successfully received an IPv6 address.,The device has self-assigned an APIPA address after failing to get DHCP.,The DNS server has assigned a temporary quarantine address.,The gateway has blocked HTTPS traffic.
MCQ-2201201-0007,CompTIA A+ Core 1,220-1201,Networking,VLANs and VPNs,hard,single_best_answer,"A remote user says the VPN connects, but they cannot reach one internal subnet while other internal apps work. What is the most useful first technical evidence to collect?",B,"A connected VPN with partial access often needs route/split-tunnel/subnet evidence, not credentials or privacy-invasive screenshots.","VPN,routing,privacy","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.","Their password, so an admin can test as them.","VPN-assigned IP, route table, destination subnet, and whether split tunnelling is enabled.",A screenshot of the whole desktop showing all open apps.,The user’s home Wi-Fi password and router admin password.
MCQ-2201201-0008,CompTIA A+ Core 1,220-1201,Networking,Network Devices,hard,single_best_answer,"A classroom has no wired connectivity from one wall port. The switch shows no link light for that port, but other ports on the same switch work. What is the best next physical-layer check?",B,No link light on one run points first to cable/port/path testing before changing VLANs or upstream routing.,"physical layer,switching","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Reset every VLAN on the switch.,Test the patch lead and wall port path with a known-good cable or cable tester.,Flush DNS on the workstation.,Replace the router because one port is down.
MCQ-2201201-0009,CompTIA A+ Core 1,220-1201,Hardware,Displays,hard,single_best_answer,A laptop connected by USB-C shows charging but no external display. Another USB-C cable works for charging only as well. Which explanation is most likely?,C,USB-C does not guarantee video support. DisplayPort Alt Mode and compatible cable/adapter support matter.,"USB-C,display","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",All USB-C cables and ports support video by default.,The laptop display must be cracked internally.,"The port, cable, or adapter may not support DisplayPort Alt Mode/video output.",The monitor must require VGA for video.
MCQ-2201201-0010,CompTIA A+ Core 1,220-1201,Hardware,RAID,hard,single_best_answer,A small server uses two drives and must survive one drive failure with minimal complexity. Capacity efficiency is less important than redundancy. Which RAID level best fits?,B,RAID 1 mirrors data across two drives and can tolerate one drive failure. RAID 0 improves performance/capacity but provides no redundancy.,"storage,RAID","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",RAID 0,RAID 1,RAID 5,JBOD
MCQ-2201201-0011,CompTIA A+ Core 1,220-1201,Hardware,Memory Technologies,hard,single_best_answer,"A workstation has intermittent crashes after a RAM upgrade. The board supports DDR4 non-ECC only, but the installed module is ECC registered memory. What is the best interpretation?",B,Physical fit does not guarantee compatibility. Registered/ECC requirements must match motherboard support.,"RAM,compatibility","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",ECC registered memory is always backward-compatible with non-ECC desktop boards.,The module type is likely incompatible even if it physically fits.,The issue must be caused by the SSD because RAM errors cannot cause crashes.,The solution is to disable all CPU cores except one.
MCQ-2201201-0012,CompTIA A+ Core 1,220-1201,Hardware,Printers,hard,single_best_answer,A laser printer produces repeated marks at regular intervals down the page. Which part is most likely associated with this symptom pattern?,B,"Repeating defects on laser printouts usually correspond to rotating components such as drum, fuser, or rollers.","printers,laser","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Wireless access point,"Fuser, drum, or roller surface with a repeating defect",DHCP scope exhaustion,Incorrect file extension
MCQ-2201201-0013,CompTIA A+ Core 1,220-1201,Virtualization and Cloud,Cloud Models,hard,single_best_answer,"A school app is accessed through a browser, managed by a vendor, and staff only configure users and settings. Which cloud model is this?",C,"SaaS is vendor-managed application delivery where customers mainly manage data, users, and configuration.","cloud,SaaS","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",IaaS,PaaS,SaaS,Bare metal colocation
MCQ-2201201-0014,CompTIA A+ Core 1,220-1201,Virtualization and Cloud,Virtual Machines,hard,single_best_answer,You want to safely test Active Directory concepts on a work laptop without touching production. Which boundary is most important?,B,A safe lab uses synthetic data and avoids production networks/domains unless explicitly approved.,"virtualization,AD lab,privacy","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Use real staff accounts so the lab is realistic.,Keep the VM isolated or on a clearly non-production network with synthetic accounts only.,Join the VM to the production domain so policies match.,Disable snapshots so mistakes cannot be hidden.
MCQ-2201201-0015,CompTIA A+ Core 1,220-1201,Troubleshooting,Hardware and Network Troubleshooting,hard,single_best_answer,A workstation intermittently loses network connection. Other devices on the same switch remain stable. Which sequence is best?,B,"Good troubleshooting isolates physical, adapter, addressing, logs, and scope before changing infrastructure.","methodology,network","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.","Replace the switch immediately, then check the cable.","Check physical link/cable, NIC status, IP lease, logs, and whether the issue follows the device or port.",Change DNS to a public resolver before checking link state.,Factory reset the firewall.
MCQ-2201201-0016,CompTIA A+ Core 1,220-1201,Troubleshooting,Storage Troubleshooting,hard,single_best_answer,"A PC is slow, reports SMART warnings, and sometimes fails to boot. The user has important unsynced files. What should be first?",B,SMART warnings plus boot issues indicate possible drive failure. Protect data before heavy testing.,"storage,backup","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Run a full destructive format to clear errors.,Prioritise data protection/backup or approved recovery before stress-testing the drive.,Update the wallpaper to reduce disk usage.,Run continuous benchmarks until the drive fails.
MCQ-2201202-0017,CompTIA A+ Core 2,220-1202,Operating Systems,File Systems,hard,single_best_answer,A removable drive must be readable and writable by Windows and macOS and support files larger than 4 GB. Which file system is the best general choice?,B,exFAT supports large files and broad Windows/macOS compatibility without FAT32’s 4 GB file limit.,filesystems,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",FAT32,exFAT,NTFS with default permissions,ext4
MCQ-2201202-0018,CompTIA A+ Core 2,220-1202,Operating Systems,Installing Operating Systems,hard,single_best_answer,A technician needs a clean Windows install on multiple identical devices with minimal manual configuration. Which approach best matches modern deployment practice?,B,Automated/zero-touch deployment reduces inconsistency and supports approved configuration at scale.,deployment,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Manual DVD install on each device with local accounts.,Zero-touch or automated deployment with approved image/provisioning process.,Copy C:\Windows from one device to another.,Install from an unverified ISO found online.
MCQ-2201202-0019,CompTIA A+ Core 2,220-1202,Operating Systems,Task Manager,hard,single_best_answer,A user reports slowness only during morning sign-in. Which Task Manager area gives the most direct first clue about apps loading at sign-in?,A,Startup apps help identify programs launching at sign-in and impacting user experience.,"Task Manager,performance","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Startup apps,Fonts,Disk Management,Windows Defender Firewall rules
MCQ-2201202-0020,CompTIA A+ Core 2,220-1202,Operating Systems,Windows Network Command Line,hard,single_best_answer,A Windows client can reach 8.8.8.8 but cannot reach intranet.example.local by name. Which command best confirms name resolution behaviour?,B,nslookup directly tests DNS resolution for a hostname.,"CLI,DNS","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",format,nslookup intranet.example.local,sfc /scannow,net user /domain
MCQ-2201202-0021,CompTIA A+ Core 2,220-1202,Operating Systems,Windows Firewall,hard,single_best_answer,An app works locally but cannot accept inbound connections from the same subnet. Network connectivity is otherwise fine. What is the best first Windows host-level check?,A,Host firewall inbound rules and network profile can block otherwise valid connections.,firewall,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Inbound firewall rule/profile status for the app or port.,Monitor brightness settings.,Recycle Bin size.,Keyboard language.
MCQ-2201202-0022,CompTIA A+ Core 2,220-1202,Operating Systems,Active Directory,hard,single_best_answer,A user can sign into Windows but cannot access a department share that colleagues can access. What evidence is most useful before escalation?,B,"Access issues require scope, path, error, group/permission context, and affected device/user comparison without collecting secrets.","AD,permissions","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",User’s password and MFA code.,"Exact share path, error message, group membership expectation, device name, and whether other users/devices are affected.",A statement that Active Directory is broken.,A screenshot of every mapped drive for all staff.
MCQ-2201202-0023,CompTIA A+ Core 2,220-1202,Operating Systems,macOS,hard,single_best_answer,A macOS user cannot find a file but believes it was recently opened. Which native feature is best for searching the device quickly?,A,Spotlight is macOS’s built-in search feature.,macOS,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Spotlight,Event Viewer,Registry Editor,Group Policy Management
MCQ-2201202-0024,CompTIA A+ Core 2,220-1202,Operating Systems,Linux Commands,hard,single_best_answer,A Linux service is consuming heavy CPU. Which command is the best first live view of processes?,A,top provides a live process/resource view.,"Linux,processes","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",top,chmod,pwd,mv
MCQ-2201202-0025,CompTIA A+ Core 2,220-1202,Security,Authentication and Access,hard,single_best_answer,A user enters correct credentials but SSO fails only for one cloud app after a role change. Which cause is most likely?,B,SSO to one app often depends on assignment and claims/attributes after role or group changes.,"SSO,SAML,access","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",The monitor cable is loose.,"App assignment, group claim, or SAML/OIDC attribute mapping no longer matches access rules.",The user’s keyboard is Bluetooth.,DHCP is unavailable.
MCQ-2201202-0026,CompTIA A+ Core 2,220-1202,Security,Malware,hard,single_best_answer,A user reports a suspicious pop-up and slow performance. They clicked an unknown attachment. Which first response is safest?,B,Potential malware should follow approved incident response and evidence-preserving procedures.,"malware,incident response","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Tell the user to keep working while you browse the device freely.,"Follow incident process: isolate if required, preserve evidence, run approved tools, and escalate according to policy.",Delete random system files until the pop-up stops.,Ask the user for their password so you can investigate later.
MCQ-2201202-0027,CompTIA A+ Core 2,220-1202,Security,Wireless Encryption,hard,single_best_answer,An organisation is replacing WPA2-Personal for staff Wi-Fi with per-user authentication. Which technology is most relevant?,A,Enterprise Wi-Fi commonly uses 802.1X with RADIUS for per-user/device authentication.,"Wi-Fi,RADIUS","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",WPA2/WPA3-Enterprise using 802.1X/RADIUS,WEP with a longer shared key,MAC filtering only,Open Wi-Fi with hidden SSID
MCQ-2201202-0028,CompTIA A+ Core 2,220-1202,Security,Data Destruction,hard,single_best_answer,A laptop SSD is being redeployed internally. It contained sensitive data. Which approach best matches secure reuse?,B,SSD sanitisation should use appropriate approved methods and documentation; ordinary deletion is insufficient.,"data destruction,SSD","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Delete files and empty Recycle Bin only.,"Use an approved sanitisation method appropriate for SSDs, such as crypto erase or vendor secure erase, then document it.",Rename user folders.,Cover the serial number with tape.
MCQ-2201202-0029,CompTIA A+ Core 2,220-1202,Security,Browser Security,hard,single_best_answer,A user says a site keeps opening fake login pages after they click search results. Which browser-side checks are most useful first?,A,"Malicious extensions, notifications, cached redirects, and URL/certificate checks are relevant browser-security triage.","browser,phishing","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.","Extensions, notification permissions, cached redirects, and whether the URL/certificate is legitimate.",RAM channel configuration.,Printer duplex setting.,Monitor refresh rate.
MCQ-2201202-0030,CompTIA A+ Core 2,220-1202,Troubleshooting,Troubleshooting Windows,hard,single_best_answer,"A Windows update failed, and now a device boots to recovery. The user needs files preserved. What is the safest mindset?",B,Data preservation and backup checks come before destructive OS repair.,"Windows,recovery","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Immediately wipe the disk because failed updates always corrupt all data.,Use recovery options that preserve data where possible and confirm backup status before destructive repair.,Disable all security controls.,Replace the user account without checking storage health.
MCQ-2201202-0031,CompTIA A+ Core 2,220-1202,Operational Procedures,Ticketing Systems,hard,single_best_answer,Which ticket note is best for escalation?,C,"A strong escalation note includes symptom, scope, checks, error, privacy boundary, and precise request.","ticketing,documentation","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",It’s broken. Please fix.,User says internet bad. I think DNS maybe.,"Issue: cannot access shared mailbox in Outlook web or desktop. Scope: only this user. Checks: sign-in works, licence active, mailbox permission not visible in admin portal. Error: 'not authorised'. No password collected. Please verify mailbox delegation.",I tried stuff for a while and got stuck.
MCQ-2201202-0032,CompTIA A+ Core 2,220-1202,Operational Procedures,Change Management,hard,single_best_answer,A teacher asks you to open a blocked website for a class starting in five minutes. Which action best follows change-control and safety principles?,B,"Urgent requests still need scope, justification, approval, and least-change handling.","change management,web filtering","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Bypass filtering immediately because urgency overrides policy.,"Collect educational need, URL, timeframe, requester, risk notes, and follow approved approval/escalation path.",Share the firewall admin password with the teacher.,Disable filtering for the whole school temporarily.
